"network","p","m","n","epoch","df_correction_method","mean_lambda","mean_df","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,25,2,"reiter",0.105067820007872,18.5777671902017,0.5,0.433333333333333,0.866666666666667,19,24
"ecoli",46,100,25,3,"old",0.120194925009315,Inf,0.5,0.733333333333333,1,8,12
"ecoli",46,100,25,3,"br",0.0759642354949797,18.2862029300286,0.5,0.666666666666667,0.952380952380952,11,13
"ecoli",46,100,25,3,"reiter",0.0826433453490248,18.8426769314122,0.5,0.666666666666667,0.952380952380952,11,13
"ecoli",46,100,25,4,"old",0.163239901935656,Inf,0.5,0.481481481481481,0.8125,17,19
"ecoli",46,100,25,4,"br",0.115336175378874,17.5106981714552,0.5,0.481481481481481,0.764705882352941,18,20
"ecoli",46,100,25,4,"reiter",0.121469972635687,18.3256815773616,0.5,0.481481481481481,0.764705882352941,18,20
"ecoli",46,100,25,5,"old",0.169279354010552,Inf,0.5,0.387096774193548,0.923076923076923,20,23
"ecoli",46,100,25,5,"br",0.129943548245771,17.242055446749,0.5,0.32258064516129,0.909090909090909,22,25
"ecoli",46,100,25,5,"reiter",0.135508782914531,18.1907911431999,0.5,0.32258064516129,0.909090909090909,22,25
"ecoli",46,100,25,6,"old",0.113281777954776,Inf,0.5,0.407407407407407,0.647058823529412,22,27
"ecoli",46,100,25,6,"br",0.096924481178713,17.8298071728067,0.5,0.37037037037037,0.625,23,28
"ecoli",46,100,25,6,"reiter",0.096924481178713,18.6232903372292,0.5,0.37037037037037,0.625,23,28
"ecoli",46,100,25,7,"old",0.14445096564934,Inf,0.5,0.5625,1,14,14
"ecoli",46,100,25,7,"br",0.104303895686511,17.6457483700893,0.5,0.46875,0.833333333333333,20,21
"ecoli",46,100,25,7,"reiter",0.107980812528443,18.4368781173294,0.5,0.46875,0.833333333333333,20,21
"ecoli",46,100,25,8,"old",0.149090821216388,Inf,0.5,0.481481481481481,0.764705882352941,18,20
