"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"246",33,10,100,NA,"old",NA,0.945945945945946,1,4,70,74
"247",33,100,100,NA,"old",NA,0.945945945945946,0.985915492957746,5,71,74
"248",33,1000,100,NA,"old",NA,0.945945945945946,1,4,70,74
"250",33,10,100,NA,"old",NA,0.941860465116279,0.975903614457831,7,83,86
"251",33,100,100,NA,"old",NA,0.953488372093023,0.976190476190476,6,84,86
"252",33,1000,100,NA,"old",NA,0.941860465116279,0.964285714285714,8,84,86
"254",33,10,100,NA,"old",NA,0.955056179775281,1,4,85,89
"255",33,100,100,NA,"old",NA,0.97752808988764,1,2,87,89
"256",33,1000,100,NA,"old",NA,0.966292134831461,1,3,86,89
"258",33,10,100,NA,"old",NA,0.975903614457831,0.952941176470588,6,85,83
"259",33,100,100,NA,"old",NA,0.975903614457831,0.952941176470588,6,85,83
"260",33,1000,100,NA,"old",NA,0.975903614457831,0.952941176470588,6,85,83
"262",33,10,100,NA,"old",NA,0.987341772151899,0.951219512195122,5,82,79
"263",33,100,100,NA,"old",NA,0.987341772151899,0.962962962962963,4,81,79
"264",33,1000,100,NA,"old",NA,0.987341772151899,0.975,3,80,79
"266",33,10,100,NA,"old",NA,0.933333333333333,0.958904109589041,8,73,75
"267",33,100,100,NA,"old",NA,0.96,0.986301369863014,4,73,75
"268",33,1000,100,NA,"old",NA,0.96,0.986301369863014,4,73,75
"270",33,10,100,NA,"old",NA,1,0.989247311827957,1,93,92
"271",33,100,100,NA,"old",NA,1,0.989247311827957,1,93,92
"272",33,1000,100,NA,"old",NA,1,0.989247311827957,1,93,92
"274",33,10,100,NA,"old",NA,1,1,0,93,93
"275",33,100,100,NA,"old",NA,0.989247311827957,1,1,92,93
"276",33,1000,100,NA,"old",NA,0.989247311827957,1,1,92,93
"278",33,10,100,NA,"old",NA,0.925,0.961038961038961,9,77,80
"279",33,100,100,NA,"old",NA,0.95,0.974358974358974,6,78,80
"280",33,1000,100,NA,"old",NA,0.95,0.974358974358974,6,78,80
"282",33,10,100,NA,"old",NA,0.986486486486487,0.986486486486487,2,74,74
"283",33,100,100,NA,"old",NA,0.972972972972973,1,2,72,74
