"","p","m","alpha","run_time"
"439",70,1000,0.05,61.6463816165924
"440",70,1000,0.05,61.4758675098419
"441",70,1,0.1,0.0771312713623047
"442",70,1,0.1,0.0768599510192871
"443",70,1,0.1,0.0802276134490967
"444",70,1,0.1,0.0836215019226074
"445",70,1,0.1,0.0762259960174561
"446",70,1,0.1,0.0770764350891113
"447",70,1,0.1,0.0839409828186035
"448",70,1,0.1,0.0760180950164795
"449",70,1,0.1,0.0773720741271973
"450",70,1,0.1,0.084226131439209
"451",70,10,0.1,6.91012358665466
"452",70,10,0.1,6.67349100112915
"453",70,10,0.1,6.63213014602661
"454",70,10,0.1,6.65827608108521
"455",70,10,0.1,6.70350456237793
"456",70,10,0.1,6.7419958114624
"457",70,10,0.1,6.80202603340149
"458",70,10,0.1,6.66658139228821
"459",70,10,0.1,6.6777937412262
"460",70,10,0.1,6.69216418266296
"461",70,100,0.1,59.0801911354065
"462",70,100,0.1,58.9591267108917
